symbol,LTP,change,predicted_price,pChange,decision
MPHASIS.NS,2875.3,0.43,2862.4,-0.45,Predicted Sell
IDBI.NS,77.51,0.27,77.82,0.4,Predicted Watch
CCL.NS,695.8,-0.54,699.5,0.53,Predicted Watch
TATAPOWER.NS,401.6,-0.06,403.84,0.56,Predicted Watch
CESC.NS,177.13,0.7,176.87,-0.15,Predicted Sell
HUDCO.NS,202.79,0.13,202.1,-0.34,Predicted Sell
OBEROIRLTY.NS,1947.75,1.07,1939.72,-0.41,Predicted Sell
UNIONBANK.NS,116.89,0.89,115.87,-0.87,Predicted Sell
NH.NS,1273.4,0.27,1259.8,-1.07,Predicted Sell
BOSCHLTD.NS,33515.0,0.04,33296.37,-0.65,Predicted Sell
LLOYDSME.NS,941.4,-0.23,945.38,0.42,Predicted Watch
BPCL.NS,299.75,-1.98,307.08,2.45,Predicted Watch
TORNTPOWER.NS,1603.0,0.8,1647.5,2.78,Predicted Buy
GRAPHITE.NS,492.6,0.74,494.79,0.44,Predicted Watch
FORTIS.NS,639.4,2.32,622.69,-2.61,Predicted Sell
CENTRALBK.NS,52.45,0.19,52.34,-0.21,Predicted Sell
PCBL.NS,389.95,0.18,393.47,0.9,Predicted Watch
POLYCAB.NS,6320.0,-0.47,6351.24,0.49,Predicted Watch
MMTC.NS,75.25,-0.96,75.78,0.7,Predicted Watch
NETWEB.NS,2734.85,2.22,2703.41,-1.15,Predicted Sell
HINDPETRO.NS,366.5,-2.24,371.04,1.24,Predicted Watch
KARURVYSYA.NS,214.8,0.94,213.0,-0.84,Predicted Sell
ABCAPITAL.NS,187.75,0.07,190.04,1.22,Predicted Buy Opportunity
APLAPOLLO.NS,1520.0,1.27,1503.1,-1.11,Predicted Sell
SBFC.NS,82.11,0.31,82.13,0.02,Predicted Watch
ERIS.NS,1323.2,-0.44,1325.9,0.2,Predicted Watch
REDINGTON.NS,194.06,3.78,188.07,-3.09,Predicted Sell
DBREALTY.NS,156.55,2.02,156.94,0.25,Predicted Watch
